,pair_of_objects,cause_directions,confounders,confidences
642,shoe // hat,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', 'Person', 'person', 'Person']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2']"
643,shower head // shower,"['y-to-x', 'x-is-y', 'y-to-x', 'y-to-x', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2']"
644,tissue box // toiletries,"['x-is-y', 'z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy']","['', '?', '', 'bathroom', 'Washroom']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_2']"
645,lunch // beans,"['y-to-x', 'x-to-y', 'y-to-x', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_1', 'confidence_2', 'confidence_3', 'confidence_3']"
646,window // table,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['room', '?', 'room', 'indoor scene', 'dinner room']","['confidence_2', 'confidence_1', 'confidence_2', 'confidence_3', 'confidence_2']"
647,shoe // floor,"['y-to-x', 'y-to-x', 'z-to-xy', 'z-to-xy', 'y-to-x']","['', '', 'people', 'indoor scene', '']","['confidence_1', 'confidence_1', 'confidence_2', 'confidence_3', 'confidence_3']"
648,eyes // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['head', 'head', 'head', 'face', 'woman']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
649,light // wall,"['z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy']","['room', 'house', '', 'indoor scene', 'room']","['confidence_2', 'confidence_2', 'confidence_1', 'confidence_3', 'confidence_3']"
650,sock // grass,"['y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x']","['', '?', '?', '?', '']","['confidence_2', 'confidence_2', 'confidence_1', 'confidence_1', 'confidence_2']"
651,pastry // pastries,"['x-is-y', 'x-is-y', 'x-to-y', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_1', 'confidence_2', 'confidence_3', 'confidence_3']"
652,water // ocean,"['x-to-y', 'x-is-y', 'x-to-y', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
653,buildings // sky,"['x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', 'Outside', '?', 'outdoors', 'ground']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_1', 'confidence_3']"
654,roof // window,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['wall', 'Building', 'house', 'Building', 'House']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
655,window // tree,"['y-to-x', 'z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy']","['', '?', '?', '', '?']","['confidence_3', 'confidence_1', 'confidence_2', 'confidence_2', 'confidence_3']"
656,tree // woman,"['x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y']","['', '?', '?', 'Community', '']","['confidence_1', 'confidence_1', 'confidence_2', 'confidence_1', 'confidence_2']"
657,pilot // airplanes,"['y-to-x', 'y-to-x', 'y-to-x', 'z-to-xy', 'y-to-x']","['', '', '', 'Transportation', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
658,meal // bun,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
659,microphone // woods,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', '?', '?', '?']","['confidence_3', 'confidence_1', 'confidence_2', 'confidence_1', 'confidence_3']"
660,basin // toilet brush,"['z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy']","['bathroom', 'Bathroom', '', 'Washroom', '?']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_2']"
661,hamburger // french fries,"['z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy', 'x-to-y']","['meal', '', 'fast food', 'Agriculture', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_2']"
662,background // man,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy']","['?', '?', '?', '', '?']","['confidence_3', 'confidence_1', 'confidence_3', 'confidence_1', 'confidence_3']"
663,floor // table,"['x-to-y', 'z-to-xy', 'x-to-y', 'x-to-y', 'z-to-xy']","['', 'Room', '', '', 'room']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
664,eyes // mouth,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['head', 'Face', 'face', 'face', 'face']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
665,suit // jacket,"['z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy', 'x-to-y']","['?', '', '?', 'person', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
666,soda can // toothpaste,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', '?', 'mouth', '?']","['confidence_2', 'confidence_1', 'confidence_3', 'confidence_2', 'confidence_2']"
667,goat // ram,"['x-is-y', 'x-is-y', 'x-is-y', 'z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy']","['', '', '', 'Animals', '', 'farmland', 'farmer']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_2']"
668,shoe // woman,"['z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['?', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
669,logo // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'Building', '?', 'Brand/Outdoor', '?']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_1', 'confidence_3']"
670,rock // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'Outside', 'Earth', 'Outdoors', '?']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_2']"
671,hand // hat,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'human', '?', 'Person', 'person']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
672,cones // traffic cone,"['x-is-y', 'x-to-y', 'x-is-y', 'x-is-y', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
673,vanity // tissue box,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy']","['?', '?', '?', '', 'bathroom']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
674,clouds // water,"['x-to-y', 'x-to-y', 'z-to-xy', 'z-to-xy', 'y-to-x']","['', '', 'ocean', 'Outside', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
675,remote // computer screen,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'computer', '?', 'Electronics', '?']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
676,forks // silverware,"['x-is-y', 'x-to-y', 'x-is-y', 'y-to-x', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_2']"
677,player // shirt,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_3']"
678,watch // man,"['y-to-x', 'y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x']","['', '', '?', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
679,hand // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', '?', '?', '?']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_1', 'confidence_3']"
680,water // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x']","['?', '?', 'rain', 'Outside', '']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_2']"
681,people // shorts,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
682,kayak // life vest,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
683,road // kitchen,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', 'fast food', '?', '?']","['confidence_2', 'confidence_2', 'confidence_1', 'confidence_1', 'confidence_3']"
684,syrup // dessert,"['y-to-x', 'z-to-xy', 'x-to-y', 'y-to-x', 'y-to-x']","['', '?', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2']"
685,carriage // teddy bears,"['x-to-y', 'z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy']","['', '?', '', 'Toys', '?']","['confidence_2', 'confidence_2', 'confidence_1', 'confidence_2', 'confidence_2']"
686,men // people,"['y-to-x', 'x-is-y', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
687,roof // building,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
688,armchair // ottoman,"['x-to-y', 'z-to-xy', 'x-to-y', 'x-to-y', 'z-to-xy']","['', '?', '', '', 'living room']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_3']"
689,person // jacket,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
690,burger // pickle,"['z-to-xy', 'x-to-y', 'x-to-y', 'z-to-xy', 'x-to-y']","['Food', '', '', 'Agriculture', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
691,ski suit // ski boot,"['z-to-xy', 'x-to-y', 'x-to-y', 'z-to-xy', 'z-to-xy']","['Skiing sport ', '', '', 'skiing', 'skier']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
692,sand // water,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Beach ', 'Beach', 'beach', 'sea', 'outdoor scene']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
693,olives // pancakes,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Olive oil pancakes ', 'Food', '?', 'agriculture', 'food']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
694,building // sign,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y', 'x-to-y']","['Cracks are sign of an old building ', '?', 'street', '', '']","['confidence_3', 'confidence_1', 'confidence_3', 'confidence_2', 'confidence_3']"
695,skier // ski boot,"['z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['Skiing sport', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
696,background // building,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x', 'y-to-x']","['Background image of a beautiful building ', '?', '?', '', '']","['confidence_3', 'confidence_1', 'confidence_2', 'confidence_1', 'confidence_3']"
697,strawberry // adult,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x', 'y-to-x']","['Adult strawberry milk recipe  ', '?', '?', '', '']","['confidence_3', 'confidence_1', 'confidence_3', 'confidence_2', 'confidence_3']"
698,range // knobs,"['z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y', 'z-to-xy']","['?', '', '', '', 'stove']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
699,building // tower,"['z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['?', '', '', '', '']","['confidence_1', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
700,uniform // bathroom,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', 'people', '?', '?']","['confidence_3', 'confidence_1', 'confidence_2', 'confidence_2', 'confidence_3']"
701,uniform // field,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x']","['soccer', 'Athlete', 'sports', 'sports match', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_2']"
702,hair // pants,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'Person', 'person', 'outfit', 'person']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
703,park bench // slats,"['z-to-xy', 'x-to-y', 'z-to-xy', 'x-to-y', 'x-to-y']","['?', '', '?', '', '']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_3']"
704,arm // woman,"['z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['human', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
705,man // helmet,"['z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['bike', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
706,fencing // biker,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x']","['?', 'Outside', 'race', 'outdoor recreation', '']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_1']"
707,toilet bowl // toilet seat,"['x-is-y', 'z-to-xy', 'x-is-y', 'x-to-y', 'x-to-y']","['', 'toilet', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
708,logo // sign,"['x-is-y', 'y-to-x', 'z-to-xy', 'y-to-x', 'x-to-y']","['', '', '?', '', '']","['confidence_2', 'confidence_1', 'confidence_2', 'confidence_3', 'confidence_3']"
709,posts // sweat band,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', '?', '?', '?']","['confidence_2', 'confidence_1', 'confidence_3', 'confidence_1', 'confidence_2']"
710,bears // polar bear,"['x-to-y', 'x-is-y', 'x-is-y', 'x-is-y', 'y-to-x']","['', '', '', '', '']","['confidence_2', 'confidence_1', 'confidence_3', 'confidence_2', 'confidence_2']"
711,nose // face,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'z-to-xy']","['', '', '', '', '', '', 'head']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
712,dress // man,"['z-to-xy', 'y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x']","['woman', '', '?', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
713,lounge chair // beach chair,"['x-is-y', 'z-to-xy', 'x-is-y', 'x-is-y', 'z-to-xy']","['', 'outdoors/indoors', '', '', 'Beach']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
714,french fry // fry,"['x-is-y', 'z-to-xy', 'x-is-y', 'x-is-y', 'y-to-x']","['', 'potato', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
715,package // carton,"['x-is-y', 'x-is-y', 'z-to-xy', 'x-is-y', 'x-to-y']","['', '', '?', '', '']","['confidence_3', 'confidence_2', 'confidence_1', 'confidence_3', 'confidence_2']"
716,ceiling // table,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'house', 'room', 'Room', '?']","['confidence_1', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
717,pickles // tomato slice,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Hamburger', 'breakfast', 'salad', 'Lunch', 'burger']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
718,trees // sky,"['x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', '?', '?', 'Outside', 'ground']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
719,olives // blueberries,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Lunch', 'pancake', '?', 'Food', '?']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
720,street // building,"['z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Zoning', '', 'city', 'Outside', 'city']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
721,room // pillow,"['z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y', 'z-to-xy']","['The purpose of the room.', '', '', '', 'bed']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_2']"
722,people // hair,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
723,swim trunks // trunks,"['z-to-xy', 'z-to-xy', 'x-is-y', 'x-is-y', 'x-is-y']","['Water', '?', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
724,roof // house,"['x-to-y', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
725,necklace // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['head', 'head', 'Woman', 'woman', 'person']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_2']"
726,ball // shorts,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['player', '?', 'Athlete', 'football player', 'people']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_2']"
727,shoes // pants,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['person', '?', 'Person', 'man', 'Legs']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_2']"
728,person // woman,"['x-is-y', 'x-is-y', 'x-to-y', 'x-to-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
729,cattle // herd,"['x-to-y', 'x-is-y', 'y-to-x', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_1', 'confidence_3', 'confidence_3', 'confidence_2']"
730,trees // building,"['y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x']","['', '?', 'Outside', 'wood', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
731,sinks // tissue box,"['z-to-xy', 'z-to-xy', 'x-to-y', 'y-to-x', 'z-to-xy']","['bathroom', '?', '', '', 'washroom']","['confidence_3', 'confidence_1', 'confidence_2', 'confidence_2', 'confidence_2']"
732,hand // suit,"['z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['person', '', '?', 'Person', 'Person']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
733,eyes // face,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
734,eyes // ear,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['head', 'head', 'head', 'Face', 'face']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
735,shirt // man,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
736,wii // computer monitor,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['power', '?', '?', 'Electronics', 'Gaming']","['confidence_3', 'confidence_2', 'confidence_1', 'confidence_2', 'confidence_3']"
737,computers // monitors,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
738,sweatband // wrist band,"['z-to-xy', 'x-is-y', 'x-is-y', 'z-to-xy', 'x-is-y']","['person', '', '', 'Athlete', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
739,tv stand // entertainment center,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_2']"
740,salt shaker // pepper shaker,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-is-y']","['table', 'Table', 'Kitchen', 'shaker', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
741,eye // window,"['z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy']","['human', '?', '', '?', '?']","['confidence_3', 'confidence_1', 'confidence_1', 'confidence_3', 'confidence_2']"
742,face // jacket,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y']","['body', 'Person', 'Human', 'person', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_1']"
743,tissues // toiletries,"['x-to-y', 'y-to-x', 'z-to-xy', 'y-to-x', 'z-to-xy']","['', '', 'washroom', '', 'bathroom']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2']"
744,people // person,"['y-to-x', 'x-to-y', 'x-is-y', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
745,men // shirt,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
